rmse,nse,rmse_top10,rmse_bot10,rmse_logged,mean_bias,mean_bias_top10,mean_bias_bot10,nse_top10,nse_bot10,nse_logged,kge,variable,partition,nstates,rep_id,nepochs,model_id
0.845327,0.80524,1.510262,0.955279,0.081595,0.02185,-1.267014,0.842338,-2.816401,-3.964532,0.803588,0.838297,do_mean,train,10,0,100,1_metab_multitask
1.263442,0.605324,2.548794,1.332804,0.109088,0.046757,-2.054828,1.245439,-5.660785,-8.435972,0.612182,0.683546,do_max,train,10,0,100,1_metab_multitask
2.366988,0.058701,5.900603,2.645376,0.750035,0.021932,-5.327083,2.577551,-4.626725,-88.776985,0.00974,-0.082808,GPP,train,10,0,100,1_metab_multitask
2.004967,0.095054,2.720738,4.430708,NA,-0.072998,-2.598248,4.015891,-46.770354,-5.352702,NA,0.055014,ER,train,10,0,100,1_metab_multitask
3.705543,0.053159,8.637301,4.294293,0.631979,-0.403252,-8.275921,4.164242,-11.596226,-16.966946,0.037692,-0.103776,K600,train,10,0,100,1_metab_multitask
0.343528,0.18249,0.901504,0.284318,0.381131,-0.015404,-0.732957,0.270693,-1.865067,-81.208732,0.213767,0.132115,depth,train,10,0,100,1_metab_multitask
2.771925,0.793747,4.783413,5.277151,0.317467,0.073406,-4.662431,5.067742,-18.614506,-10.859932,0.620092,0.657213,temp.water,train,10,0,100,1_metab_multitask
2.313795,-0.249808,1.835656,2.612077,0.670968,-0.347926,-1.240959,0.649529,-4.242021,-14.034395,-7.274517,0.459837,do_min,val,10,0,100,1_metab_multitask
2.565856,-0.652591,2.132061,2.700782,0.675583,-0.367541,-1.283119,0.563581,-6.546207,-26.232112,-10.359538,0.328347,do_mean,val,10,0,100,1_metab_multitask
3.057534,-0.999082,4.525957,2.921572,0.672405,-0.354842,-2.872297,1.280766,-18.282324,-36.85896,-10.993096,0.240813,do_max,val,10,0,100,1_metab_multitask
2.80617,-0.035996,6.488571,3.549961,1.094542,0.604155,-5.385425,3.491296,-2.31736,-388.377739,-0.285122,-0.182966,GPP,val,10,0,100,1_metab_multitask
2.850706,0.104796,3.005795,7.214407,NA,0.343391,-2.887574,6.569326,-59.064712,-4.953323,NA,0.002412,ER,val,10,0,100,1_metab_multitask
4.158088,-0.623253,5.290745,6.252018,0.91519,2.478369,-4.792483,6.228434,-4.701547,-312.410957,-0.917462,-0.512374,K600,val,10,0,100,1_metab_multitask
0.90538,-0.304186,2.294408,0.311953,0.706314,-0.464667,-2.131055,0.293501,-6.062871,-158.857008,-0.170107,-0.232519,depth,val,10,0,100,1_metab_multitask
3.91592,0.674444,8.162922,4.572216,0.278673,-1.06078,-8.07497,4.413545,-54.248873,-12.865084,0.67176,0.551246,temp.water,val,10,0,100,1_metab_multitask
2.41864,-0.434677,1.858515,2.752793,0.716766,-0.499711,-1.202658,0.106878,-4.461932,-13.611114,-9.028829,0.39167,do_min,val_times,10,0,100,1_metab_multitask
2.688745,-0.925165,2.122542,2.942536,0.72236,-0.517332,-1.197334,0.009514,-7.718132,-26.416686,-12.863789,0.239576,do_mean,val_times,10,0,100,1_metab_multitask
3.188611,-1.315427,4.683804,3.068089,0.717942,-0.531576,-2.892996,0.865186,-25.061145,-32.474339,-13.654953,0.162858,do_max,val_times,10,0,100,1_metab_multitask
2.551733,-0.005039,6.328096,3.051221,0.85634,0.334462,-5.219523,2.965493,-2.275547,-122.316229,-0.156467,-0.150338,GPP,val_times,10,0,100,1_metab_multitask
1.94584,0.131774,2.792251,4.253889,NA,-0.277455,-2.676412,3.8362,-44.997206,-5.153711,NA,0.100693,ER,val_times,10,0,100,1_metab_multitask
3.571281,-0.050214,6.541738,6.13242,0.697893,0.74702,-6.22626,6.107561,-10.183067,-314.196615,-0.212888,-0.297336,K600,val_times,10,0,100,1_metab_multitask
0.437379,0.076383,1.101435,0.310585,0.502116,-0.039015,-1.029987,0.293772,-6.557327,-277.772196,0.097337,-0.020533,depth,val_times,10,0,100,1_metab_multitask
3.348671,0.725207,7.545443,3.717614,0.214095,-0.843938,-7.403945,3.604613,-31.896884,-12.665048,0.746805,0.601372,temp.water,val_times,10,0,100,1_metab_multitask
0.978222,0.768678,1.803938,1.199864,0.106564,-0.093404,-1.605877,1.050493,-3.677889,-4.026746,0.757404,0.807632,do_min,train,10,1,100,1_metab_multitask
0.868876,0.794237,1.649873,0.913531,0.082518,-0.064677,-1.461738,0.796011,-3.554606,-3.540089,0.799117,0.826049,do_mean,train,10,1,100,1_metab_multitask
1.236829,0.621776,2.523551,1.219878,0.106351,-0.011788,-2.142077,1.075971,-5.529505,-6.904728,0.631403,0.685095,do_max,train,10,1,100,1_metab_multitask
2.394608,0.036606,6.003956,2.623452,0.754522,-0.121133,-5.472851,2.571467,-4.825563,-87.295073,-0.002142,-0.15066,GPP,train,10,1,100,1_metab_multitask
1.997119,0.102125,2.556787,4.602008,NA,0.112769,-2.441595,4.213988,-41.186555,-5.853415,NA,0.041308,ER,train,10,1,100,1_metab_multitask
3.462538,0.173273,7.886208,4.331527,0.615055,-0.307251,-7.499243,4.183014,-9.50076,-17.279871,0.088541,0.080962,K600,train,10,1,100,1_metab_multitask
0.359652,0.103942,0.984413,0.220527,0.386961,-0.087286,-0.829183,0.206279,-2.416281,-48.457602,0.189528,0.078998,depth,train,10,1,100,1_metab_multitask
3.016358,0.755767,5.158308,5.559309,0.331182,0.165808,-5.045516,5.362273,-21.80952,-12.162087,0.586557,0.60113,temp.water,train,10,1,100,1_metab_multitask
2.255931,-0.188079,1.925354,2.552995,0.703547,-0.324815,-1.369371,0.626577,-4.766836,-13.361964,-8.186075,0.47964,do_min,val,10,1,100,1_metab_multitask
2.453834,-0.51144,2.130045,2.54569,0.663911,-0.361332,-1.371497,0.427839,-6.531942,-23.194312,-10.052958,0.372561,do_mean,val,10,1,100,1_metab_multitask
2.922772,-0.826745,4.348226,2.582192,0.649507,-0.373588,-2.799659,0.857717,-16.797655,-28.574174,-10.208495,0.290803,do_max,val,10,1,100,1_metab_multitask
3.155355,-0.309866,8.186185,2.00185,1.385653,-0.760329,-7.227749,1.56526,-4.280288,-122.818863,-1.059629,-0.127804,GPP,val,10,1,100,1_metab_multitask
4.06151,-0.817157,1.795944,10.141532,NA,1.861092,-1.505991,9.635651,-20.443036,-10.764278,NA,-0.454446,ER,val,10,1,100,1_metab_multitask
3.284039,-0.012547,4.568908,5.263501,0.74738,1.424768,-4.036852,4.894927,-3.251908,-221.138154,-0.278753,0.229437,K600,val,10,1,100,1_metab_multitask
0.812183,-0.04951,2.178455,0.251105,0.580316,-0.354006,-1.993733,0.23535,-5.367034,-102.577139,0.210124,0.019832,depth,val,10,1,100,1_metab_multitask
12.475034,-2.30401,24.128895,4.581287,1.263694,-7.332608,-23.485726,4.407246,-481.732972,-12.920155,-5.749703,-0.318249,temp.water,val,10,1,100,1_metab_multitask
2.337353,-0.339863,1.980378,2.676807,0.750964,-0.501854,-1.379244,0.100543,-5.201699,-12.815624,-10.13107,0.424793,do_min,val_times,10,1,100,1_metab_multitask
2.556726,-0.740753,2.145128,2.769449,0.709167,-0.527169,-1.340605,-0.090753,-7.904656,-23.286127,-12.476533,0.298384,do_mean,val_times,10,1,100,1_metab_multitask
3.044202,-1.110448,4.489197,2.789144,0.693193,-0.536698,-2.845899,0.543174,-22.940511,-26.664205,-12.685173,0.218324,do_max,val_times,10,1,100,1_metab_multitask
2.560887,-0.012262,6.693512,2.143294,0.928512,-0.184936,-5.689679,1.780556,-2.664763,-59.846621,-0.359615,-0.01505,GPP,val_times,10,1,100,1_metab_multitask
2.360645,-0.27785,2.050781,5.932168,NA,0.342605,-1.899952,5.393498,-23.811951,-10.96718,NA,-0.103527,ER,val_times,10,1,100,1_metab_multitask
3.111417,0.202839,5.666388,5.045754,0.61685,0.521812,-5.321875,4.67296,-7.390489,-212.387935,0.05245,0.193296,K600,val_times,10,1,100,1_metab_multitask
0.401511,0.221658,1.050649,0.255056,0.447982,-0.030541,-0.939382,0.239007,-5.876465,-187.001956,0.28148,0.211162,depth,val_times,10,1,100,1_metab_multitask
8.015112,-0.57427,20.546777,3.957102,0.767981,-3.009138,-18.544723,3.806735,-242.934218,-14.482358,-2.257948,0.1582,temp.water,val_times,10,1,100,1_metab_multitask
0.734064,0.86974,0.81586,0.895839,0.085401,0.027382,-0.395102,0.575626,0.043163,-1.802094,0.844192,0.934738,do_min,train,10,2,100,1_metab_multitask
0.672528,0.876726,0.866098,0.711901,0.067031,0.032372,-0.29005,0.472663,-0.255117,-1.757126,0.867447,0.938399,do_mean,train,10,2,100,1_metab_multitask
1.119584,0.690084,2.077952,1.079707,0.097595,-0.03559,-1.327217,0.869822,-3.427179,-5.192502,0.689596,0.797877,do_max,train,10,2,100,1_metab_multitask
2.182616,0.199631,5.414553,2.336956,0.696615,-0.029705,-4.864987,2.185281,-3.737925,-69.063386,0.145777,0.134521,GPP,train,10,2,100,1_metab_multitask
1.909125,0.179503,2.56196,4.309018,NA,-0.019703,-2.42195,3.892498,-41.357429,-5.008539,NA,0.138548,ER,train,10,2,100,1_metab_multitask
2.355242,0.617489,5.668857,2.568452,0.484673,-0.330542,-5.000986,1.876194,-4.425944,-5.42738,0.434013,0.607737,K600,train,10,2,100,1_metab_multitask
0.308193,0.342016,0.74908,0.21689,0.34027,0.032106,-0.5261,0.20299,-0.978135,-46.839593,0.373316,0.423209,depth,train,10,2,100,1_metab_multitask
1.252909,0.957862,1.528381,1.292901,0.157254,0.157463,-1.228068,0.436123,-1.002465,0.288109,0.906786,0.976831,temp.water,train,10,2,100,1_metab_multitask
2.081559,-0.011512,1.371959,2.550253,0.516992,-0.071542,-0.341163,0.795565,-1.928186,-13.331131,-3.959982,0.512095,do_min,val,10,2,100,1_metab_multitask
2.347139,-0.382861,1.808064,2.496997,0.602027,-0.224053,-0.488994,0.336474,-4.426967,-22.277609000000002,-8.088458,0.379268,do_mean,val,10,2,100,1_metab_multitask
2.816342,-0.696129,4.1091240000000004,2.377663,0.622902,-0.45252,-2.302506,0.461748,-14.894143,-24.074732,-9.309049,0.329137,do_max,val,10,2,100,1_metab_multitask
3.08222,-0.249849,8.009027,1.53068,1.308353,-0.902295,-7.030673,1.132999,-4.054219,-71.392359,-0.913546,0.001252,GPP,val,10,2,100,1_metab_multitask
3.345165,-0.232686,1.992942,8.632934,NA,1.204561,-1.905524,8.067319,-25.405249,-7.52462,NA,-0.253523,ER,val,10,2,100,1_metab_multitask
3.310035,-0.028641,2.859452,5.186481,0.808706,2.108723,-1.687037,5.10948,-0.665423,-214.684636,-0.49722,0.292844,K600,val,10,2,100,1_metab_multitask
0.888049,-0.254735,2.237964,0.231407,0.689173,-0.434634,-2.072386,0.214452,-5.719646,-86.964041,-0.114004,-0.153628,depth,val,10,2,100,1_metab_multitask
4.255846,0.615471,8.87761,1.11992,0.257063,-2.785369,-8.610334,-0.069505,-64.346779,0.168154,0.720694,0.70752,temp.water,val,10,2,100,1_metab_multitask
