site_id,rmse,nse,rmse_top10,rmse_bot10,rmse_logged,mean_bias,mean_bias_top10,mean_bias_bot10,nse_top10,nse_bot10,nse_logged,kge,variable,partition,nstates,rep_id,nepochs
01480870,0.666855,0.831717,0.815668,0.818786,0.081798,-0.327608,-0.711646,0.586045,-1.982501,-1.959761,0.805834,0.865304,do_min,val_times,10,3,100
01481000,0.599193,0.883966,0.850642,0.831091,0.069181,-0.15235,-0.669666,0.733043,-1.022757,-5.890993,0.871765,0.858938,do_min,val_times,10,3,100
01481500,0.569944,0.92775,0.938175,0.574758,0.056772,-0.236315,-0.819403,0.471584,-1.776565,-2.968842,0.924178,0.925677,do_min,val_times,10,3,100
01466500,,,,,,,,,,,,,do_mean,val_times,10,3,100
01472104,1.035945,0.603886,2.720271,0.829263,0.100792,-0.380417,-2.4417,0.731373,-3.831307,-5.18733,0.641322,0.572232,do_mean,val_times,10,3,100
01472119,,,,,,,,,,,,,do_mean,val_times,10,3,100
014721254,,,,,,,,,,,,,do_mean,val_times,10,3,100
014721259,,,,,,,,,,,,,do_mean,val_times,10,3,100
01473499,,,,,,,,,,,,,do_mean,val_times,10,3,100
01473500,0.775749,0.856252,1.085361,1.268831,0.088507,0.124461,-0.537146,1.1692,-0.934626,-12.100512,0.832135,0.867191,do_mean,val_times,10,3,100
01473675,,,,,,,,,,,,,do_mean,val_times,10,3,100
01473780,,,,,,,,,,,,,do_mean,val_times,10,3,100
01474500,,,,,,,,,,,,,do_mean,val_times,10,3,100
01475530,1.604188,0.07238,0.63218,1.623852,0.221871,-0.927471,0.168106,-1.599542,-0.18507,-65.224705,-0.695481,0.340116,do_mean,val_times,10,3,100
01475548,3.812093,-1.498951,5.753698,0.871684,0.65114,-2.777874,-5.579211,0.188091,-70.144506,-1.053777,-4.625142,0.282147,do_mean,val_times,10,3,100
01480617,0.503317,0.897162,0.671888,0.660853,0.05123,-0.16023,-0.538548,0.589647,-1.22794,-7.945473,0.889195,0.849753,do_mean,val_times,10,3,100
01480870,0.525797,0.897567,0.72344,0.783622,0.054857,-0.147083,-0.605247,0.659524,-1.360291,-4.922981,0.89113,0.850057,do_mean,val_times,10,3,100
01481000,0.584962,0.879699,0.854672,0.663209,0.059396,-0.15413,-0.68433,0.591044,-1.253643,-4.749025,0.87479,0.868364,do_mean,val_times,10,3,100
01481500,0.474005,0.946421,0.804402,0.442713,0.043086,-0.108082,-0.673283,0.375232,-1.490029,-4.408457,0.947922,0.945425,do_mean,val_times,10,3,100
01466500,,,,,,,,,,,,,do_max,val_times,10,3,100
01472104,1.882475,0.331399,5.007512,1.486401,0.152774,-0.681381,-4.714816,1.42807,-5.690386,-8.674399,0.37673,0.343536,do_max,val_times,10,3,100
01472119,,,,,,,,,,,,,do_max,val_times,10,3,100
014721254,,,,,,,,,,,,,do_max,val_times,10,3,100
014721259,,,,,,,,,,,,,do_max,val_times,10,3,100
01473499,,,,,,,,,,,,,do_max,val_times,10,3,100
01473500,1.073983,0.752096,1.761315,1.478286,0.106431,0.177711,-1.286614,1.357271,-2.422496,-19.063909,0.735093,0.771121,do_max,val_times,10,3,100
01473675,,,,,,,,,,,,,do_max,val_times,10,3,100
01473780,,,,,,,,,,,,,do_max,val_times,10,3,100
01474500,,,,,,,,,,,,,do_max,val_times,10,3,100
01475530,2.89977,-1.368472,1.933942,2.607788,0.361767,-2.388753,-1.80144,-2.574211,-6.12868,-55.062186,-3.717183,0.38167,do_max,val_times,10,3,100
01475548,5.472657,-2.833756,10.147547,1.335884,0.733508,-4.515906,-9.907722,-1.071229,-196.722471,-3.590567,-7.079982,0.021287,do_max,val_times,10,3,100
01480617,0.854276,0.764532,1.162861,1.382201,0.078791,0.249571,-0.954454,1.287248,-3.88032,-43.984167,0.738741,0.702427,do_max,val_times,10,3,100
01480870,1.167918,0.659579,2.515675,1.298204,0.098688,-0.162275,-2.231554,1.219367,-7.33396,-13.720285,0.676688,0.635278,do_max,val_times,10,3,100
01481000,0.90089,0.736451,1.612673,0.967137,0.081078,-0.181999,-1.311289,0.852876,-3.66166,-6.663925,0.737394,0.765937,do_max,val_times,10,3,100
01481500,0.549097,0.919843,0.735849,0.492474,0.047903,-0.02817,-0.582538,0.358282,-1.104953,-7.12319,0.919749,0.949979,do_max,val_times,10,3,100
